violation,item,country,shipper,station,importers,cause,cargo,remarks,article,manufacturers,year,month,day
3,12,21.0,491.0,18.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,24
1,19,21.0,452.0,10.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,24
1,9,51.0,120.0,42.0,0.0,0.0,8.0,8.0,5.0,11.0,3,07,24
9,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,1085.0,3,07,24
9,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,1085.0,3,07,24
9,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,1085.0,3,07,24
9,2,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,1085.0,3,07,24
9,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,1085.0,3,07,24
9,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,1085.0,3,07,24
3,19,95.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,1003.0,3,07,24
0,19,123.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1658.0,3,07,24
1,19,3.0,613.0,29.0,0.0,0.0,11.0,11.0,5.0,11.0,3,07,24
0,19,21.0,0.0,37.0,488.0,0.0,8.0,8.0,27.0,1300.0,4,06,05
5,18,142.0,424.0,19.0,405.0,0.0,8.0,8.0,15.0,11.0,4,06,05
1,19,58.0,0.0,37.0,72.0,0.0,8.0,8.0,13.0,1231.0,4,06,05
1,19,89.0,0.0,17.0,443.0,0.0,8.0,8.0,13.0,1651.0,4,06,05
9,19,12.0,0.0,18.0,309.0,0.0,8.0,8.0,11.0,561.0,4,06,05
9,19,12.0,0.0,18.0,309.0,0.0,8.0,8.0,11.0,561.0,4,06,05
1,19,21.0,620.0,19.0,622.0,0.0,11.0,11.0,13.0,11.0,4,06,05
0,19,8.0,0.0,37.0,34.0,0.0,8.0,8.0,27.0,938.0,4,06,05
1,19,126.0,415.0,27.0,389.0,0.0,3.0,3.0,13.0,11.0,4,06,05
1,19,142.0,357.0,37.0,479.0,0.0,8.0,8.0,13.0,11.0,4,06,12
0,19,123.0,0.0,15.0,550.0,0.0,8.0,8.0,13.0,1646.0,4,06,12
3,6,3.0,407.0,10.0,359.0,0.0,8.0,8.0,27.0,11.0,4,06,12
9,19,60.0,0.0,27.0,329.0,0.0,8.0,8.0,11.0,650.0,4,06,12
9,14,60.0,0.0,27.0,329.0,0.0,8.0,8.0,11.0,650.0,4,06,12
9,17,60.0,0.0,27.0,329.0,0.0,8.0,8.0,11.0,596.0,4,06,12
1,17,36.0,0.0,27.0,239.0,0.0,8.0,8.0,13.0,471.0,4,06,12
5,15,21.0,0.0,42.0,296.0,0.0,8.0,8.0,15.0,946.0,4,06,12
3,12,132.0,581.0,18.0,585.0,0.0,8.0,8.0,27.0,11.0,4,06,12
1,17,126.0,0.0,37.0,51.0,0.0,8.0,8.0,13.0,791.0,4,06,12
1,19,70.0,538.0,27.0,265.0,0.0,2.0,2.0,13.0,11.0,4,06,12
1,15,142.0,0.0,29.0,616.0,0.0,8.0,8.0,13.0,923.0,4,06,12
1,15,142.0,0.0,29.0,616.0,0.0,8.0,8.0,13.0,923.0,4,06,12
5,18,142.0,424.0,17.0,405.0,0.0,8.0,8.0,15.0,11.0,4,06,18
1,19,21.0,0.0,18.0,387.0,0.0,8.0,8.0,13.0,363.0,4,06,18
1,15,21.0,0.0,37.0,372.0,0.0,8.0,8.0,13.0,1699.0,4,06,18
1,19,21.0,648.0,37.0,487.0,0.0,11.0,11.0,13.0,11.0,4,06,18
1,17,70.0,0.0,34.0,98.0,0.0,8.0,8.0,13.0,1477.0,4,06,18
1,19,58.0,0.0,29.0,83.0,0.0,8.0,8.0,13.0,1248.0,4,06,18
3,6,132.0,33.0,10.0,21.0,0.0,8.0,8.0,27.0,11.0,4,06,18
1,17,21.0,0.0,23.0,500.0,0.0,8.0,8.0,13.0,1297.0,4,06,18
1,19,58.0,0.0,29.0,350.0,0.0,8.0,8.0,13.0,1231.0,4,06,18
3,11,132.0,0.0,37.0,101.0,0.0,8.0,8.0,27.0,1425.0,4,06,18
5,9,31.0,269.0,19.0,243.0,0.0,8.0,8.0,15.0,11.0,4,06,18
1,11,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,918.0,3,07,29
3,6,126.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,156.0,3,07,29
0,19,21.0,0.0,15.0,0.0,0.0,8.0,8.0,16.0,1820.0,3,07,29
5,15,21.0,0.0,23.0,0.0,0.0,8.0,8.0,5.0,900.0,3,07,29
1,8,142.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1693.0,3,07,29
1,19,123.0,0.0,39.0,0.0,0.0,8.0,8.0,5.0,493.0,3,07,29
1,15,123.0,0.0,39.0,0.0,0.0,8.0,8.0,5.0,493.0,3,07,29
1,17,101.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1657.0,3,07,29
1,15,21.0,0.0,10.0,0.0,0.0,8.0,8.0,5.0,1898.0,3,07,29
6,19,132.0,600.0,7.0,0.0,0.0,8.0,8.0,25.0,11.0,3,07,29
3,4,132.0,437.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,29
1,15,123.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,494.0,3,07,29
1,17,70.0,0.0,35.0,0.0,0.0,8.0,8.0,5.0,277.0,3,07,29
1,15,57.0,0.0,17.0,0.0,0.0,8.0,8.0,5.0,1163.0,3,07,29
9,17,21.0,0.0,29.0,0.0,0.0,8.0,8.0,2.0,22.0,3,07,29
3,12,132.0,230.0,33.0,0.0,0.0,8.0,8.0,27.0,11.0,3,07,29
1,15,142.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,583.0,3,07,29
1,15,21.0,0.0,23.0,0.0,0.0,8.0,8.0,5.0,1309.0,3,07,29
5,19,132.0,273.0,42.0,0.0,0.0,9.0,9.0,9.0,11.0,3,07,29
1,5,77.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,210.0,3,07,29
1,5,77.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,210.0,3,07,29
1,5,77.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,210.0,3,07,29
1,5,77.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,210.0,3,07,29
1,17,21.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,696.0,3,07,29
1,17,21.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,281.0,3,07,29
1,15,123.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,1717.0,3,07,29
